model,frequency_bin,amplitude_frc,phase_frc
Baseline,0,1.000000,1.000000
Baseline,1,0.118832,0.046990
Baseline,2,0.125697,0.000608
Baseline,3,0.072534,0.161642
Baseline,4,0.143154,0.206992
Baseline,5,0.053837,0.111961
Baseline,6,0.077829,0.340873
Baseline,7,0.024572,0.183622
Baseline,8,0.248063,0.005297
Baseline,9,0.269576,0.161422
Baseline,10,0.174548,0.083635
Baseline,11,0.089076,0.084792
Baseline,12,0.048244,0.029306
Baseline,13,0.058833,0.158485
Baseline,14,0.093382,0.114321
Baseline,15,0.121282,0.097348
Baseline,16,0.131190,0.115606
Baseline,17,0.038805,0.108139
Baseline,18,0.052268,0.066167
Baseline,19,0.057458,0.024548
Baseline,20,0.021897,0.072579
Baseline,21,0.004007,0.019538
Baseline,22,0.000205,0.028355
Baseline,23,0.091268,0.043304
Baseline,24,0.011699,0.016090
Baseline,25,0.046980,0.061863
Baseline,26,0.086187,0.064113
Baseline,27,0.238879,0.026849
Baseline,28,0.112589,0.045805
Baseline,29,0.100983,0.021169
Baseline,30,0.025981,0.013797
Baseline,31,0.088718,0.111750
Baseline,32,0.262513,0.153819
Baseline,33,0.131406,0.070631
Baseline,34,0.045811,0.024339
Baseline,35,0.006264,0.066169
Baseline,36,0.042974,0.056126
Baseline,37,0.003248,0.093167
Baseline,38,0.088395,0.054065
Baseline,39,0.037327,0.112483
Baseline,40,0.080445,0.044196
Baseline,41,0.097021,0.115494
Baseline,42,0.041722,0.017030
Baseline,43,0.172268,0.020426
Baseline,44,0.022028,0.008688
Baseline,45,0.099157,0.222594
Baseline,46,0.035158,0.033850
Baseline,47,0.027059,0.238428
Baseline,48,0.031976,0.094141
Baseline,49,0.029259,0.083584
Baseline,50,0.068059,0.085894
Baseline,51,0.004861,0.066914
Baseline,52,0.013656,0.037642
Baseline,53,0.010461,0.156562
Baseline,54,0.024516,0.159812
Baseline,55,0.187741,0.099787
Baseline,56,0.019177,0.111629
Baseline,57,0.050451,0.021757
Baseline,58,0.063785,0.064749
Baseline,59,0.148305,0.033656
Baseline,60,0.049755,0.136974
Baseline,61,0.467117,0.124826
Baseline,62,0.032627,0.215356
Baseline,63,0.065175,0.307185
Baseline,64,0.360472,0.121374
Baseline,65,0.395002,0.180613
Baseline,66,0.463709,0.251235
